StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Activity
0,Recording_22,Process_3,2022-02-21T08:09:27+00:00,Press button in window,PDF Converter Pro - Free - 1 running window in Quick Launch Bar,,,"[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['PDF Converter Pro - Free - 1 running window']\n""]",2.0,Go to the content conversion app,Event_101,Press button in window
1,Recording_22,Process_3,2022-02-21T08:09:35+00:00,Click UI element in window,"List Item 'To PDF' in Window 'PDF  ...  RTF, XPS, Images'",CoollePDFConverter,"PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.Click Element: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['List Item \\'To PDF\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 33 OffsetY: -12 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomLeft\n""]",3.0,Go to the content conversion app,Event_101,CoollePDFConverterClick UI element in window
2,Recording_22,Process_3,2022-02-21T08:09:39+00:00,Press button in window,"Button 'Button' in Window 'PDF  ...  RTF, XPS, Images'",CoollePDFConverter,"PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.PressButton Button: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['Button \\'Button\\'']\n""]",4.0,Go to the content conversion app,Event_101,CoollePDFConverterPress button in window
3,Recording_22,Process_3,2022-02-21T08:09:44+00:00,Press button in window,"Button 'Button' 2 in Window 'PDF  ...  RTF, XPS, Images'",CoollePDFConverter,"PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.PressButton Button: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['Button \\'Button\\' 2']\n""]",5.0,Open the brochure in conversion tool and convert it to PDF.,Event_102,CoollePDFConverterPress button in window
4,Recording_22,Process_3,2022-02-21T08:09:47+00:00,Click UI element in window,"Edit 'Name' in Window 'PDF  ...  RTF, XPS, Images'",CoollePDFConverter,"PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.Click Element: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['Edit \\'Name\\''] ClickType: UIAutomation.ClickType.DoubleClick OffsetX: -2 OffsetY: 2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",6.0,Open the brochure in conversion tool and convert it to PDF.,Event_102,CoollePDFConverterClick UI element in window
5,Recording_22,Process_3,2022-02-21T08:09:58+00:00,Press button in window,"Button 'Button' 3 in Window 'PDF  ...  RTF, XPS, Images'",CoollePDFConverter,"PDF Converter Pro: OCR, PDF to Word, Spreedsheet, HTML, Text, RTF, XPS, Images","[""UIAutomation.PressButton Button: appmask['Window \\'PDF  ...  RTF, XPS, Images\\'']['Button \\'Button\\' 3']\n""]",7.0,Open the brochure in conversion tool and convert it to PDF.,Event_102,CoollePDFConverterPress button in window
6,Recording_22,Process_3,2022-02-21T08:10:38+00:00,Click UI element in window,UIAutomation.ClickElement:appmask['Window \'01_January\'22\'']['Edit \'Name\'']ClickType:UIAutomation.ClickType.LeftClickOffsetX:0OffsetY:-6MousePositionRelativeToElement:UIAutomation.RectangleEdgePoint.BottomCenter,,,"[""UIAutomation.Click Element: appmask['Window \\'01_January\\'22\\'']['Edit \\'Name\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 0 OffsetY: -6 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomCenter\n""]",8.0,Open the brochure in conversion tool and convert it to PDF.,Event_102,Click UI element in window
7,Recording_22,Process_3,2022-02-21T08:10:40+00:00,Click UI element in window,UIAutomation.ClickElement:appmask['Window \'01_January\'22\'']['List \'Items View\'']ClickType:UIAutomation.ClickType.LeftClickOffsetX:-156OffsetY:-191MousePositionRelativeToElement:UIAutomation.RectangleEdgePoint.BottomCenter,,,"[""UIAutomation.Click Element: appmask['Window \\'01_January\\'22\\'']['List \\'Items View\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -156 OffsetY: -191 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomCenter\n""]",9.0,Open the brochure in conversion tool and convert it to PDF.,Event_102,Click UI element in window
8,Recording_22,Process_3,2022-02-21T08:10:46+00:00,Select menu option in window,Google Chrome - 3 running windows in Quick Launch Bar,,,"[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Google Chrome - 3 running windows']\n""]",10.0,Verify the weather condition for desired demo date ,Event_103,Select menu option in window
9,Recording_22,Process_3,2022-02-21T08:10:50+00:00,Click UI element in window,List Item 'New Tab - Google Chrome' in List 'Task Switcher',,Task Switcher,"[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'New Tab - Google Chrome\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 8 OffsetY: 18 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",11.0,Verify the weather condition for desired demo date ,Event_103,Click UI element in window
