StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Activity
0,Recording_1,Process_1,2022-02-21T02:54:47+00:00,Select menu option in window,Google Chrome - 3 running windows in Quick Launch Bar,,,"[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Google Chrome - 3 running windows']\n""]",2.0,Login to collaborative tool,Event_1,Select menu option in window
1,Recording_1,Process_1,2022-02-21T02:54:51+00:00,Press button in window,Button 'SharePoint' in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.PressButton Button: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Button \\'SharePoint\\'']\n""]",3.0,Login to collaborative tool,Event_1,chromePress button in window
2,Recording_1,Process_1,2022-02-21T02:54:56+00:00,Click UI element in window,Hyperlink 'Project RoadMap' in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Hyperlink \\'Project RoadMap\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 87 OffsetY: 2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",4.0,Login to collaborative tool,Event_1,chromeClick UI element in window
3,Recording_1,Process_1,2022-02-21T02:55:00+00:00,Click UI element in window,Hyperlink 'Documents' in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Hyperlink \\'Documents\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -17 OffsetY: 2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",5.0,Login to collaborative tool,Event_1,chromeClick UI element in window
4,Recording_1,Process_1,2022-02-21T02:56:06+00:00,Click UI element in window,Hyperlink 'Feedback form instruction.docx' in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Hyperlink \\'Feedback form instruction.docx\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 14 OffsetY: -2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",6.0, Search the file having feedback form instruction,Event_2,chromeClick UI element in window
5,Recording_1,Process_1,2022-02-21T02:56:17+00:00,Click UI element in window,Pane in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Pane'] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 63 OffsetY: -68 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",7.0, Search the file having feedback form instruction,Event_2,chromeClick UI element in window
6,Recording_1,Process_1,2022-02-21T02:56:20+00:00,Click UI element in window,Button 'Close' in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Button \\'Close\\''] ClickType: UIAutomation.ClickType.LeftButtonDown OffsetX: -2 OffsetY: -1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",8.0, Search the file having feedback form instruction,Event_2,chromeClick UI element in window
7,Recording_1,Process_1,2022-02-21T02:56:25+00:00,Prepare a form for employees feedback,Button 'New Tab' in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.PressButton Button: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Button \\'New Tab\\'']\n""]",9.0, Search the file having feedback form instruction,Event_2,chromePrepare a form for employees feedback
8,Recording_1,Process_1,2022-02-21T02:56:33+00:00,Populate text field in window,Edit 'Address and search bar' in Pane 'SharePoint - Google Chrome - Name',,,,,,,Populate text field in window
9,Recording_1,Process_1,2022-02-21T02:56:34+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",11.0, Search the file having feedback form instruction,Event_2,Send keys
