,ApplicationFrameHost,chrome,CoollePDFConverter,EXCEL,explorer,firefox,msedge,OneDrive,ONENOTE,OUTLOOK,PBIDesktop,SearchApp,ShellExperienceHost,Skype,Ssms,Teams
ApplicationFrameHost,0.40834141348847236,0.31742291827532576,0.30952380952380953,0.3157894736842105,0.37467532467532466,0.5021749084249084,0.4341044226563967,0.2666666666666667,0.38333333333333336,0.38779761904761906,0.6488095238095238,0.3789299242424243,0.33611111111111114,0.30952380952380953,0.26471291866028707,0.32885457307488386
chrome,0.38196778711484597,0.11667552163147972,0.12142857142857144,0.1869565217391304,0.15073929392866267,0.525,0.3168090110187811,0.12160633484162897,0.380952380952381,0.34578962703962707,0.18769841269841273,0.3306485067599979,0.2583333333333333,0.5,0.1712191246569406,0.18667470226601074
CoollePDFConverter,0.47291666666666665,0.3967885760073259,0.25,0.5769230769230769,0.08846153846153845,0.33072916666666663,0.18611111111111112,0.2922077922077922,0.4166666666666667,0.2548611111111111,0.42708333333333337,0.3537545787545788,0.5,0.2916666666666667,0.3769230769230769,0.43733829766724497
EXCEL,0.5200091575091574,0.35133928571428563,0.5833333333333333,0.6,0.296875,0.6369890161008581,0.21944444444444444,0.0,0.4791666666666667,0.595734126984127,0.625,0.5062442765567766,0.6,0.5625,0.596875,0.6093749999999999
explorer,0.4308712121212121,0.33399006183080837,0.23809523809523814,0.39009287925696595,0.35028278173439464,0.334979517010767,0.35028659611992946,0.3703703703703704,0.39285714285714285,0.26631944444444444,0.3524305555555556,0.38845307917888566,0.29583333333333334,0.30952380952380953,0.33104350707716335,0.32289940063709166
firefox,0.34139957264957266,0.2493281529540721,0.22916666666666669,0.26785714285714285,0.2011724386724387,0.2798403220835663,0.21777267598143726,0.19191919191919193,0.40104166666666663,0.3300978139793929,0.23626373626373626,0.3275448306482789,0.24861111111111114,0.4275568181818182,0.24305555555555555,0.22931450260002753
msedge,0.23415952103452103,0.33324014646751715,0.33333333333333337,0.26666666666666666,0.10215958605664488,0.4259210635855373,0.10233398410365083,0.25757575757575757,0.35555555555555557,0.40128968253968256,0.5714285714285714,0.35220061815263054,0.2643939393939394,0.3409090909090909,0.21037037037037037,0.1954189162168702
OneDrive,0.5043154761904762,0.32723214285714286,0.0,0.0,0.5147849462365591,0.3164269655997597,0.5431981943495102,0.625,0.43636363636363634,0.0625,0.35,0.375,0.10256410256410256,0.25,0.20833333333333334,0.4565476190476191
ONENOTE,0.39867424242424243,0.44836751789876783,0.4166666666666667,0.1607142857142857,0.2911255411255411,0.3491071428571429,0.31739417989417995,0.5178571428571428,0.625,0.3232142857142857,0.48690476190476195,0.4127099732469003,0.3261904761904762,0.25396825396825395,0.21672077922077923,0.4075302258578999
OUTLOOK,0.31914127539127535,0.389593921998624,0.2916666666666667,0.2951251646903821,0.22943527684342355,0.4070154671717172,0.2615396687913061,0.34346846846846846,0.4642857142857143,0.45416666666666666,0.45027195027195027,0.37789904841535277,0.4272946859903382,0.4722222222222222,0.27298064254585996,0.3412699963517783
PBIDesktop,0.47605519480519476,0.5800286933778781,0.5416666666666667,0.6,0.43452380952380953,0.4572986954565902,0.3498575498575499,0.6388888888888888,0.3541666666666667,0.4864583333333333,0.4234126984126984,0.4401424963924964,0.5857142857142856,0.4,0.5678571428571428,0.5383730158730159
SearchApp,0.3388888888888889,0.24369994588744592,0.30952380952380953,0.4003267973856209,0.14707792207792206,0.23300342471538124,0.2201419344393201,0.10795454545454547,0.40935672514619886,0.32699314574314575,0.2617063492063492,0.28944444444444445,0.3416666666666667,0.21590909090909088,0.3001633986928104,0.23303751803751807
ShellExperienceHost,0.3163968461878679,0.285557844932845,0.2916666666666667,0.1428571428571429,0.23539915966386554,0.4157617345209257,0.2302504693633726,0.2361111111111111,0.5208333333333333,0.3087873931623931,0.33125,0.33847923071510533,0.31047077922077926,0.475,0.17289915966386557,0.2848587197116609
Skype,0.23385642135642137,0.45291852819139017,0.4807692307692308,0.4440789473684211,0.2419108669108669,0.24479166666666669,0.23927553927553927,0.583554376657825,0.375,0.21931471306471312,0.3965909090909091,0.359917268189327,0.34455128205128205,0.16249999999999998,0.38656938821412506,0.4937035453241848
Ssms,0.49717261904761906,0.4833468614718614,0.5833333333333333,0.41904761904761906,0.2125,0.6738911764405185,0.28137125220458553,0.3333333333333333,0.5514705882352942,0.6165674603174603,0.3833333333333334,0.40265219382067213,0.5,0.5625,0.35535714285714287,0.523792270531401
Teams,0.518560606060606,0.15241424666996117,0.1742424242424242,0.25240384615384615,0.33265345765345766,0.5535037878787878,0.3865066276650384,0.07486631016042783,0.41538461538461535,0.37024456521739135,0.18263888888888888,0.4302652208902209,0.34191176470588236,0.34285714285714286,0.19496649184149184,0.13639399048287468
