,ApplicationFrameHost,chrome,CoollePDFConverter,EXCEL,explorer,firefox,msedge,OneDrive,ONENOTE,OUTLOOK,PBIDesktop,SearchApp,ShellExperienceHost,Skype,Ssms,Teams
ApplicationFrameHost,0.8806037712287713,0.7661256588024504,0.5277777777777778,0.4285714285714286,0.7038183694530443,0.9201811594202898,0.8090607857238948,0.6349206349206349,0.8064516129032258,0.5438017598343685,0.5633484162895928,0.6908232118758435,0.8500000000000001,0.8,0.5651629072681704,0.6951089726118796
chrome,0.41998523450136355,0.8354408482661211,0.5365853658536586,0.4918032786885246,0.5445205479452055,0.18831936120373227,0.5888706241519752,0.7205882352941176,0.19444444444444442,0.5908437826541275,0.8295454545454546,0.38398421413864103,0.7353448275862069,0.1428571428571429,0.4959016393442623,0.6369324792715532
CoollePDFConverter,0.09746768030126354,0.700460564721247,0.972972972972973,0.22807017543859653,0.23000999500249875,0.10366908733022909,0.07628916899750231,0.609375,0.09375,0.38375,0.5833333333333334,0.2198059561950291,0.3725,0.12903225806451613,0.3295523290986086,0.369080003755136
EXCEL,0.19528431994993758,0.048022778096307506,0.06666666666666665,0.4307692307692308,0.19696969696969696,0.4691302486366894,0.05778743990126104,0.0,0.275,0.20136542792792794,0.05929487179487175,0.4663342104518575,0.08712121212121215,0.4358974358974359,0.41235431235431236,0.09724397826193029
explorer,0.45861170079920077,0.6816410059218053,0.9444444444444444,0.7142857142857143,0.49316305469556243,0.8681889477269913,0.1670791152006854,0.8253968253968254,0.7096774193548387,0.5329321946169772,0.43665158371040724,0.7053161750530171,0.3625,0.7666666666666666,0.7694235588972431,0.5879850420026863
firefox,0.4133522727272727,0.09304871341860223,0.0,0.3035714285714286,0.16382868937048506,0.8904474792518271,0.08086804325817173,0.04761904761904767,0.935483870967742,0.3077769151138717,0.20889894419306182,0.7003550543024227,0.0,0.7666666666666666,0.3009085213032582,0.16632382996802259
msedge,0.5579732767232767,0.43509560127370006,0.2777777777777778,0.4642857142857143,0.5810113519091846,0.5795575529542921,0.7834011391492156,0.31746031746031744,0.5806451612903225,0.31327639751552794,0.37254901960784315,0.46031103399524453,0.5958333333333333,0.6,0.46021303258145363,0.5073323152389317
OneDrive,0.500327347846814,0.06291978204555575,0.0,0.03389830508474578,0.5333333333333333,0.597365510115697,0.7093403793473715,0.09090909090909094,0.6470588235294117,0.16708023159636065,0.047619047619047616,0.31050047892720306,0.33333333333333337,0.48484848484848486,0.05028248587570622,0.1999197179396111
ONENOTE,0.39744397759103645,0.5984427271662149,0.4736842105263158,0.22413793103448276,0.1628329297820823,0.7614278858562394,0.13532772739208732,0.5076923076923077,0.8181818181818181,0.5351282051282051,0.49679075738125805,0.5047032844544564,0.4389140271493212,0.6875,0.23918760958503799,0.34856846136077924
OUTLOOK,0.5672093837535014,0.7559418968742385,0.5,0.5862068965517242,0.602905569007264,0.7619239176022713,0.7501837442076771,0.5846153846153845,0.6666666666666667,0.8269230769230769,0.5840821566110398,0.5192097615691197,0.7183257918552036,0.625,0.5388661601402689,0.7275989298094455
PBIDesktop,0.18177975528364848,0.48549069552120794,0.3589743589743589,0.3389830508474576,0.28075117370892017,0.37431104452312497,0.103249385371811,0.43939393939393945,0.4411764705882353,0.33182841650583583,0.4488095238095238,0.5189056513409962,0.16666666666666669,0.4242424242424242,0.43615819209039547,0.2887332508273168
SearchApp,0.6790006868131868,0.16793394192418676,0.05555555555555558,0.5,0.48116615067079466,0.9129464728106033,0.7122667689795136,0.04761904761904767,0.935483870967742,0.5183747412008282,0.21266968325791857,0.7031665702718335,0.5541666666666667,0.8,0.4517543859649123,0.3684069904263079
ShellExperienceHost,0.6568926912870411,0.23714839945873062,0.16666666666666663,0.3870967741935484,0.2853925353925354,0.9054518833686962,0.18249831241004827,0.1159420289855072,0.972972972972973,0.40376943881000676,0.1864734299516908,0.6352853641456583,0.3952380952380953,0.9722222222222222,0.43164362519201227,0.3933300268766608
Skype,0.16852240896358545,0.5866059057099501,0.4473684210526315,0.3448275862068966,0.2475786924939467,0.1819322452897148,0.14584417072591846,0.4769230769230769,0.21212121212121215,0.38064102564102564,0.4178433889602054,0.2840200729670618,0.44909502262443435,0.21875,0.3842781998831093,0.4010907030946623
Ssms,0.33676722244938134,0.5787337042434494,0.43243243243243246,0.368421052631579,0.45777111444277857,0.383927572454051,0.654311387644721,0.515625,0.15625,0.3416666666666667,0.39444444444444443,0.4510656493458697,0.51625,0.3548387096774194,0.3738656987295826,0.4397543550427586
Teams,0.463193056943057,0.6749195846319563,0.4444444444444444,0.4464285714285714,0.6084881320949433,0.6141004738015607,0.6637843323544235,0.5873015873015873,0.5483870967741935,0.7184265010351966,0.5211161387631975,0.45222672064777336,0.7208333333333333,0.5666666666666667,0.5302318295739348,0.6811369925638111
max,ApplicationFrameHost,chrome,CoollePDFConverter,explorer,ApplicationFrameHost,ApplicationFrameHost,ApplicationFrameHost,explorer,ShellExperienceHost,OUTLOOK,chrome,explorer,ApplicationFrameHost,ShellExperienceHost,explorer,OUTLOOK
