,ApplicationFrameHost,chrome,CoollePDFConverter,EXCEL,explorer,firefox,msedge,OneDrive,ONENOTE,OUTLOOK,PBIDesktop,SearchApp,ShellExperienceHost,Skype,Ssms,Teams
ApplicationFrameHost,0.9092839350327869,0.9132498809267033,0.9426532769556026,0.9017223910840932,0.9315380841429334,0.929347708044961,0.9466497056977146,0.9068672839506173,0.8849426563078062,0.8138151895908531,0.8712121212121212,0.9054919270797738,0.9054434475946105,0.9041805401405846,0.89851803605603,0.917625908001187
chrome,0.7974172765198746,0.9327781889792641,0.9573382322923045,0.87503588860178,0.9010387390155619,0.5508827336612663,0.9347772315032281,0.9341395094623215,0.6842105263157895,0.8831572091521533,0.9836807928913192,0.87555576825134,0.9291819291819292,0.6153846153846154,0.8996336693934379,0.9298068777238967
CoollePDFConverter,0.26006944444444446,0.8230323551251945,0.9049899193548387,0.14732142857142855,0.40255837912087916,0.2278769841269841,0.1978433603433603,0.8645521145521146,0.45,0.4229509425641139,0.8348484848484848,0.35950429778554777,0.4574463118580766,0.1388888888888889,0.404790521978022,0.5762453830060885
EXCEL,0.5179146537842191,0.3303503787878788,0.5,0.9411764705882353,0.4125,0.7883090544545056,0.2556910569105691,0.0,0.7272727272727273,0.6121212121212122,0.3,0.810834826762246,0.4523809523809524,0.8157894736842105,0.8830882352941176,0.4927380952380953
explorer,0.7207338260548574,0.8718005773199232,0.953063063063063,0.9644918573490002,0.8283281039892425,0.9570440219507427,0.4239458072791406,0.9519832189168573,0.9515460030165912,0.8259187332463195,0.8783333333333333,0.9334421940082704,0.6190476190476191,0.9387755102040817,0.9410088152724383,0.8263852575912821
firefox,0.8474051046419467,0.744986447096001,0.6666666666666667,0.8985507246376812,0.6675407925407926,0.9206997326151333,0.37138813915129704,0.5384615384615384,0.9682539682539683,0.8487645806758015,0.7444444444444445,0.94867160780553,0.5321428571428571,0.9364892183288409,0.9236343366778149,0.812620290155565
msedge,0.9018500808324438,0.736307732449085,0.7037037037037037,0.6119505494505495,0.8228540555142838,0.9229201004263516,0.9264967529324741,0.7228260869565217,0.92,0.8198256791525405,0.7668470418470419,0.7795887055980476,0.8164172783738002,0.9091836734693878,0.6362920168067228,0.8464129211132567
OneDrive,0.8436583577712609,0.1857142857142857,0.0,0.0,0.6166666666666667,0.8718481313441859,0.9001907000031445,0.2777777777777778,0.9047619047619048,0.35812356979405036,0.2,0.7249877810361681,0.4285714285714286,0.8780487804878049,0.13333333333333336,0.4312719298245614
ONENOTE,0.6859331232492998,0.8684741860108283,0.9090909090909091,0.23529411764705888,0.5172872340425532,0.9243184500882833,0.40169753086419757,0.8769230769230769,0.9109803921568628,0.7672612727465341,0.8494152046783625,0.7940512485481998,0.706766917293233,0.9170646982197135,0.4474342928660826,0.7330357878223355
OUTLOOK,0.8378864197347291,0.880184414189768,0.8998022412656559,0.7446808510638299,0.8700496150902853,0.8931914907488926,0.9025183018693137,0.9099264705882353,0.907312925170068,0.8562398947933225,0.874185606060606,0.7948247774163499,0.802274100471035,0.9248381128584644,0.7710618867191296,0.8914947623195072
PBIDesktop,0.5972850678733032,0.8114384754257937,0.7586206896551724,0.9579365079365079,0.6400788576300085,0.8269140591139217,0.48411780685138694,0.8095238095238095,0.8666666666666667,0.7382575757575758,0.8055000442451772,0.8841117359086786,0.5982142857142857,0.85,0.9315471115982624,0.7288156038775581
SearchApp,0.8831190481463891,0.6523602369865351,0.7692307692307692,0.9603960396039604,0.9141459417775207,0.9367485068437974,0.8998926142276454,0.33333333333333337,0.9436507936507936,0.8507534632799743,0.6642857142857143,0.926344305266527,0.8443014705882352,0.9219230769230768,0.9437945110300503,0.8163230690853511
ShellExperienceHost,0.8443392255892257,0.5144002068338991,0.5,0.5934782608695652,0.52375,0.9458525148243488,0.3766565224898558,0.3166666666666667,0.9824561403508771,0.582990157990158,0.4951388888888889,0.8115497364953888,0.65,0.9818181818181818,0.6434057971014493,0.8109815172749956
Skype,0.36761849261849266,0.8610236722016713,0.9334992887624467,0.8823529411764706,0.525974025974026,0.36249999999999993,0.3560731538992408,0.8934921763869133,0.4545454545454546,0.6694444444444445,0.856859756097561,0.7655791788856305,0.6413043478260869,0.5,0.8957219251336899,0.8581412966859288
Ssms,0.7566420966420967,0.8670026828179551,0.8378378378378378,0.9466374269005848,0.9020254297120978,0.8004875853243316,0.9068870955468894,0.8876050420168067,0.7777777777777778,0.7698172905525849,0.8300000000000001,0.8489927303437488,0.8003095975232197,0.8157894736842105,0.9247946926129396,0.8283709948536859
Teams,0.8296950632587587,0.8978910096781436,0.8686046511627907,0.9011926605504587,0.926972101972102,0.9180970785869497,0.9348597227802755,0.9556882158804115,0.885925925925926,0.8611727970542077,0.9141025641025642,0.8733390946836619,0.8800542005420053,0.9215686274509804,0.8910424582213572,0.9272061767070963
