,ApplicationFrameHost,chrome,CoollePDFConverter,EXCEL,explorer,firefox,msedge,OneDrive,ONENOTE,OUTLOOK,PBIDesktop,SearchApp,ShellExperienceHost,Skype,Ssms,Teams
ApplicationFrameHost,0.9183792611951798,0.8988238108330391,0.9030206677265501,0.8880208333333333,0.9285977965759564,0.9351754622423113,0.9376300820341226,0.9451162790697674,0.8942449581898673,0.9052655019154046,0.9087132846449617,0.904024046417647,0.9523827476644379,0.8837460245343026,0.8892413127634231,0.9027849782963052
chrome,0.9424975340856583,0.9055901010066476,0.891725768321513,0.8461538461538461,0.963719301279834,0.9073040220873039,0.9340137027664556,0.9397250092902267,0.8753315649867375,0.9652002546024285,0.9380302131323003,0.9765329852871381,0.9552119953424842,0.784688995215311,0.9077708006279435,0.886598390065352
CoollePDFConverter,0.6008184523809523,0.8236222003475197,0.8623548922056384,0.23529411764705888,0.7467236467236468,0.6933892700436818,0.6302905518591791,0.9236842105263159,0.375,0.7012090211578702,0.8270833333333334,0.4723544973544973,0.6913961038961038,0.5,0.4694989106753813,0.7315603856562212
EXCEL,0.4464285714285714,0.12827380952380954,0.4,0.7894736842105263,0.41379310344827586,0.8519128755759834,0.16225749559082892,0.0,0.75,0.4572044334975369,0.0,0.8394652548810764,0.16666666666666669,0.8666666666666667,0.8085299455535391,0.1899014778325123
explorer,0.9526785714285715,0.9020153838536541,0.9689814814814814,0.9388111888111889,0.925752508361204,0.9401771533018548,0.9517996971850928,0.961038961038961,0.9361702127659575,0.8827857961363017,0.9332659251769464,0.8850845605800848,0.9545454545454546,0.9166666666666666,0.8951581027667985,0.856413672655358
firefox,0.8269523008716566,0.8460814030272529,0.7916666666666667,0.8352657004830918,0.6516887098408838,0.8927707022679979,0.5401589008503354,0.9023076923076923,0.950082850041425,0.8233971863623026,0.805812434691745,0.9036488206185047,0.6737836438923396,0.8175750834260289,0.8385244586331543,0.7708275959728799
msedge,0.9144435070861134,0.7341790103176394,0.7589285714285714,0.9357272963830341,0.934784048644484,0.9401171250605045,0.9477212955546741,0.7279411764705882,0.9244350282485876,0.8080159753960063,0.7874011007911936,0.9287650567706611,0.8473741979061128,0.9310344827586207,0.921311608681731,0.8772178423388276
OneDrive,0.7337350279160624,0.34464285714285714,0.0,0.5,0.6616420516766803,0.556520125815184,0.8742146335744299,0.4444444444444444,0.8333333333333334,0.33104395604395603,0.33333333333333337,0.5684389140271493,0.4217479674796748,0.4375,0.4423076923076923,0.4980432844932845
ONENOTE,0.7344221535398007,0.6149390540015539,0.6274509803921569,0.3340909090909091,0.6399845982715838,0.8906828167565103,0.7004018398755241,0.6521739130434783,0.9148936170212766,0.6658440806878307,0.5763392857142857,0.7005271226853214,0.6696969696969697,0.8609307359307359,0.3839531297401153,0.554510359774568
OUTLOOK,0.8323012215638944,0.839337738377854,0.8117647058823529,0.9230769230769231,0.9247821842992732,0.9035408498669008,0.9302867441039988,0.8157840932324678,0.8936170212765957,0.9191414307513379,0.789655025073901,0.88063884293723,0.8629072681704261,0.9183673469387755,0.9102564102564104,0.8781461104711648
PBIDesktop,0.6207013574660633,0.8506447665948534,0.8157894736842105,0.967741935483871,0.5158730158730158,0.7608294968335819,0.3859879584017515,0.8505747126436781,0.7619047619047619,0.7573143664245359,0.8635719347980155,0.8437989425329881,0.6754385964912282,0.8048780487804879,0.9283154121863799,0.7641539865868585
SearchApp,0.8665700068932588,0.7940145622656434,0.7897435897435898,0.9357774502579219,0.8805602871779342,0.8921806581560409,0.889854546390767,0.8666666666666667,0.9152542372881356,0.812400204992471,0.8218518999769,0.890147328162034,0.8262581168831169,0.8411949685534592,0.9100105738684567,0.8287832207785222
ShellExperienceHost,0.8654877116930689,0.6870292169711238,0.8571428571428572,0.885483870967742,0.755207763805358,0.899656760515493,0.701969537815126,0.75,0.9558823529411765,0.8127801120448179,0.775,0.8886502654418397,0.7654761904761904,0.9008158508158508,0.847949699289229,0.8324993578151793
Skype,0.5439733061056591,0.8838571708050503,0.926829268292683,0.5480480480480481,0.7668382087396173,0.7598591359620772,0.7069621736288403,0.9292929292929293,0.5608974358974359,0.7981762860795119,0.8683261183261184,0.585858331809036,0.7425925925925926,0.5227272727272727,0.6402212071226157,0.8211231672219818
Ssms,0.8351264476264477,0.8418049165804209,0.8372093023255813,0.8235294117647058,0.8793104206376949,0.8629973094425611,0.8850224909096391,0.8734177215189873,0.7608695652173914,0.8011059907834102,0.8271816418875242,0.8493063846722384,0.8227053140096618,0.8936170212765957,0.8604826546003017,0.8248853620391321
Teams,0.8482227061419387,0.9098298470628123,0.9118152788012773,0.9320340648542418,0.9328413457887142,0.8432233967731766,0.8986516163589047,0.9579566003616637,0.8274941608274942,0.8793245166098645,0.9130660169816797,0.8629560676673935,0.8607235163253288,0.8191978440076093,0.9274715778816663,0.9121835395355351
