,ApplicationFrameHost,chrome,CoollePDFConverter,EXCEL,explorer,firefox,msedge,OneDrive,ONENOTE,OUTLOOK,PBIDesktop,SearchApp,ShellExperienceHost,Skype,Ssms,Teams
ApplicationFrameHost,0.9347270950463779,0.931220864910569,0.9590840840840841,0.9333333333333333,0.9572653549622677,0.96787686764199,0.9626902128498297,0.9370606236043337,0.9560517038777909,0.9248664803672022,0.8740197063353138,0.9423662484125902,0.9791597383882054,0.9569739952718677,0.9346966205837174,0.9385857254183563
chrome,0.9719571608920383,0.9921348002018252,1.0,1.0,0.972273425499232,0.9822495590302645,0.9906535217312159,0.9934402053167855,0.9436322287199481,0.9967532467532467,1.0,0.9813214855320118,0.9868679856531297,0.8972222222222221,1.0,0.9888979963431546
CoollePDFConverter,0.8696865820900432,0.9379479558490691,0.989010989010989,0.9615384615384616,0.8795460520189247,0.8426767174711254,0.8308748966127707,0.8913043478260869,0.8811188811188811,0.9069107224258628,0.9396270396270396,0.8908905414563324,0.9008771929824562,0.8761904761904762,0.9611556189226091,0.888505881171193
EXCEL,0.601844232774215,0.4451336056175937,0.6020066889632107,0.9046153846153846,0.5745617212402202,0.7607293374404818,0.425788067731458,0.2708333333333333,0.8116883116883117,0.6175153209635968,0.4291666666666667,0.8677892014359782,0.44270833333333337,0.8117236024844721,0.8756089093462318,0.5043928637285634
explorer,0.9493974326523447,0.9703836680786279,1.0,1.0,0.9611069155248679,0.989930178177376,0.9812394803618756,0.9952830188679245,0.9752236044001235,0.9566650988079888,0.9653396712220241,0.972491429177132,0.9765625,0.9938650306748467,0.9755996691480563,0.9381959469329286
firefox,0.9547179541046371,0.9938654824896935,1.0,0.9381443298969072,0.7948094407771827,0.9853374120282345,0.7059466349968085,0.9005376344086022,0.9763721614415739,0.982273792768139,0.9386258902387934,0.9897784662439698,0.7880598072562357,0.9714781366396245,0.9650399068839375,0.935580430632202
msedge,0.9900153609831029,0.903537082436174,0.9018804243008678,0.9730847637899962,0.9545138888888889,0.9741616125349131,0.9875590878395928,0.9143731767234762,0.937142857142857,0.9449295689344389,0.9375011879644941,0.9486326477789107,0.9752941176470589,0.97927292457949,0.941056270783887,0.9440826442728396
OneDrive,0.8805847806551226,0.1726934523809524,0.0,0.0,0.6851851851851851,0.8921009196937184,0.9215521727014193,0.3078947368421053,0.8841911764705883,0.38799283154121866,0.18333333333333335,0.7357220821233083,0.453125,0.90625,0.18518518518518517,0.43290532451720154
ONENOTE,0.9039607231219073,0.9402542189692986,0.9545454545454546,0.9181266846361187,0.8310325091575093,0.9523137794589593,0.7796974056282566,0.9157955865272939,0.9685064935064935,0.9527546296296295,0.9632996632996633,0.942416489670445,0.9718660968660968,0.9857142857142858,0.906682389937107,0.9382797224655128
OUTLOOK,0.9850942156562563,0.9460617993602846,1.0,0.970370906983483,0.9752568424337478,0.9540124852223617,0.9880893595150982,0.9321266968325792,0.9760452961672474,0.9605745664841752,0.9775193798449613,0.9643531570357757,0.9453571428571428,0.9204316809950612,0.9659301662561033,0.9614619909225611
PBIDesktop,0.8088589362026861,0.8448653097040968,0.8687810945273632,1.0,0.740814462017733,0.851628343245802,0.7009116219642536,0.8206517648829683,0.9438605271938605,0.7997971864907881,0.8808755760368663,0.9341576957382469,0.6880701754385965,0.8992346938775511,0.95523753894081,0.7935447144791131
SearchApp,0.9404778302019755,0.977090411246677,1.0,1.0,0.9584921568639179,0.9913729958819294,0.9437643721151429,1.0,1.0,0.9517589418535416,0.9585612968591692,0.9762504705907596,0.9883826583592938,1.0,0.9956331877729258,0.9445319613915532
ShellExperienceHost,0.9390109692000227,0.7844479322461971,0.8020833333333333,0.8669498492737737,0.8481837606837607,0.956280215010494,0.784060100899689,0.8142857142857143,1.0,0.8247714647838784,0.7500905797101449,0.9326829419042535,0.9257703081232493,1.0,0.8820860357479979,0.8715943870126303
Skype,0.5501965236775609,0.9010275542709673,0.9709653092006033,0.9169213670464018,0.829646697388633,0.7349816022900388,0.7598898375287264,0.9171879768080562,0.6461538461538461,0.82477245464515,0.8579226376540955,0.7977259342623433,0.777496408045977,0.6901960784313725,0.9012026190070719,0.8662101222874223
Ssms,0.8919622487991536,0.9021368131884349,0.8595848595848596,0.9166666666666666,0.8968519225872167,0.9040531440765408,0.9013188815735249,0.925271655718583,0.9156746031746033,0.9034166384623559,0.8281594306686105,0.9365114740911027,0.883061938061938,0.9212121212121211,0.9247198879551821,0.9050894072973321
Teams,0.9712689043929623,0.9830750991139835,0.9518037518037519,1.0,0.990959350462048,0.9689947834446607,0.990073533427526,1.0,0.990909090909091,0.9490926583064383,1.0,0.9728232569818457,0.9907021604938272,0.8816964285714286,0.990959350462048,0.9877300894429487
